mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_1
13,7,7480,2984,0.72
2,0,424,256,0.67
2,0,648,56,0.58
13,8,6968,6968,0.65
5,0,2664,392,0.54
18,14,13536,6968,0.7
20,17,5992,3624,0.56
22,19,21384,15264,0.74
24,20,5352,8248,0.54
15,11,1128,1928,0.62
15,12,11064,5992,0.6
13,8,2728,4392,0.63
15,11,9144,7224,0.61
5,0,2024,176,0.77
2,0,424,808,0.58
20,17,4776,12960,0.66
15,11,1992,4264,0.7
2,0,1256,840,0.59
20,17,17568,14688,0.72
6,1,1864,936,0.53
15,12,5736,4968,0.6
13,8,4776,2984,0.7
22,19,20616,10680,0.69
15,10,7992,1864,0.55
26,20,5544,16992,0.67
8,4,2344,840,0.67
26,20,19848,11832,0.66
15,12,3496,4392,0.56
15,9,12216,6712,0.7
26,20,12216,15264,0.69
18,15,6712,1416,0.52
25,20,13536,776,0.71
4,0,120,120,0.56
6,1,4392,88,0.72
11,6,3496,3496,0.53
2,0,144,376,0.56
24,20,4776,15264,0.63
7,2,1096,1864,0.68
2,0,648,1000,0.6
8,4,536,3240,0.66
13,8,2728,1384,0.54
15,11,10296,1032,0.62
15,11,11448,3112,0.53
3,0,2728,1256,0.67
15,12,7480,1384,0.73
26,20,5544,5544,0.57
13,7,7992,5736,0.57
2,0,2088,600,0.65
